"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ERBB4",2.6682656426356e-15,0.293536389455196,0.728,0.382,1.15541238857407e-10
"AC098829.1",2.70910493116856e-15,0.581912775488066,0.158,0.003,1.17309661729461e-10
"TRNAU1AP",3.10520626696046e-15,0.27444651287095,0.234,0.045,1.34461641771922e-10
"TAB1",3.15525096736498e-15,0.320327787975273,0.191,0.02,1.36628677388838e-10
"ST7",3.29672808244212e-15,0.296475423351078,0.253,0.056,1.42754919425909e-10
"AC108047.1",3.30923619340677e-15,0.291037463324699,0.18,0.014,1.432965456469e-10
"MARF1",3.48595465271063e-15,0.31867001028496,0.168,0.008,1.50948808371676e-10
"PDE4B",3.56489567045018e-15,0.370435908657335,0.971,0.657,1.54367112321834e-10
"FBXO42",3.73635049065613e-15,0.252557293773095,0.264,0.062,1.61791448946392e-10
"AC012358.3",3.74650367238946e-15,0.444664744092476,0.157,0.003,1.62231102021808e-10
"WDSUB1",3.74709391081878e-15,0.392547211531008,0.259,0.062,1.62256660526275e-10
"FBXO7",3.92059491757977e-15,-0.270408101558096,0.52,0.208,1.69769601121039e-10
"POM121C",4.18571251938551e-15,0.310858533590228,0.264,0.065,1.81249723514431e-10
"CLIP1",4.23573406403376e-15,0.331498410815994,0.232,0.045,1.8341575644079e-10
"CARF",4.33762679114294e-15,0.349940180047872,0.217,0.037,1.87827915310071e-10
"SH3TC2-DT",4.72278320454115e-15,0.32952106888371,0.21,0.031,2.04505958323041e-10
"WDFY1",4.86847865856442e-15,0.27073323586763,0.218,0.037,2.10814862873156e-10
"YTHDF1",4.91447571696278e-15,0.301437632362118,0.191,0.022,2.12806627495922e-10
"AC004690.2",5.15402587963421e-15,0.371388755142012,0.167,0.008,2.2317962863992e-10
"GFPT2",5.31900008270217e-15,0.366584690473011,0.197,0.025,2.30323341581169e-10
"AL359915.2",5.84664452398898e-15,0.32190030899829,0.177,0.014,2.53171401177771e-10
"LINC01792",6.17061819228419e-15,0.26092584720803,0.198,0.025,2.6720010896229e-10
"TRAPPC13",6.29783444402343e-15,0.365969075530026,0.218,0.039,2.72708827095103e-10
"COPG2",6.35123316350729e-15,0.410728005126442,0.238,0.051,2.75021098446193e-10
"ARSB",6.84854791686829e-15,0.370996473047096,0.227,0.045,2.96555821896231e-10
"NECTIN3",7.13913990054045e-15,0.299991664689502,0.177,0.014,3.09139035973202e-10
"KLF6",7.3860808568884e-15,-0.426729059839193,0.299,0.081,3.19832073264982e-10
"CD200",7.39122773069958e-15,0.321326825731015,0.206,0.031,3.20054943194753e-10
"DTNBP1",7.47445696138337e-15,0.395164173803693,0.244,0.053,3.23658935341823e-10
"SCYL2",7.6365575758626e-15,0.265339646977249,0.222,0.039,3.30678216150002e-10
"SLC7A1",7.65778453115566e-15,0.251284864321622,0.227,0.042,3.31597385768102e-10
"TTN-AS1",7.84897046309633e-15,0.496224902096214,0.238,0.053,3.39876118992997e-10
"DTX3L",7.94421645789368e-15,0.419127861577299,0.148,0,3.44000461059712e-10
"NCAM1",9.31020359195606e-15,0.364051690357017,0.945,0.621,4.03150435938881e-10
"SIPA1L2",9.40028457778952e-15,0.280560543866432,0.225,0.042,4.07051122787442e-10
"VPS36",9.9062958235858e-15,0.286460749874917,0.239,0.051,4.28962421752912e-10
