"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"HS3ST4",6.98265173026915e-290,2.68367819165722,0.974,0.224,3.02362785224115e-285,"17"
"ELMO1",3.74631915336184e-255,2.44426668519183,1,0.292,1.62223111978874e-250,"17"
"RUNX1",1.22450708550251e-240,2.4273413918823,0.974,0.272,5.30236058164298e-236,"17"
"LRMDA",5.3104983400472e-192,2.18751181175962,0.997,0.419,2.29955199120724e-187,"17"
"NCK2",9.11769570910736e-192,2.11519772271688,0.872,0.246,3.94814459595767e-187,"17"
"SH3RF3",4.51027744424624e-187,2.47353964843496,0.907,0.298,1.95304033890751e-182,"17"
"FKBP5",5.13777705860595e-181,2.2077447994353,0.98,0.406,2.22476022191755e-176,"17"
"HSPA6",0,4.21072009413042,0.955,0.095,0,"18"
"CPED1",0,3.3113735238504,0.914,0.143,0,"18"
"MS4A6A",0,3.06026279254042,0.908,0.148,0,"18"
"IER5",0,2.83848282084879,0.623,0.068,0,"18"
"AC074327.1",1.76735133577111e-261,3.1215443174594,0.908,0.188,7.65298475415607e-257,"18"
"CHORDC1",1.24168379187962e-255,2.92986383541819,0.904,0.208,5.37673915559713e-251,"18"
"HSPH1",1.09057450893644e-216,3.00299811965605,0.99,0.342,4.72240573859657e-212,"18"
"ATP2C1",1.5990158837834e-202,2.91942864859092,0.955,0.356,6.92405857995889e-198,"18"
"RASGEF1B",8.470383783574e-201,2.87352537327344,0.966,0.348,3.66784558596321e-196,"18"
"FOXP2",6.68514847867502e-147,2.8013706880833,0.634,0.144,2.89480299423586e-142,"18"
"F13A1",0,5.53662644527873,0.837,0.032,0,"19"
"CD163",0,3.74090518610776,0.832,0.071,0,"19"
"MRC1",0,3.61882952579777,0.752,0.049,0,"19"
"CR1",0,2.90010693679044,0.465,0.005,0,"19"
"AC100849.1",2.42742095787122e-229,2.61532010843659,0.267,0.011,1.05112182317739e-224,"19"
"FMN1",7.60989830865352e-147,2.95679167391453,0.832,0.193,3.29523816561315e-142,"19"
"RBMS1",1.50546534856179e-130,2.69232001105074,0.708,0.15,6.51896605234225e-126,"19"
"AGFG1",6.64220580283277e-83,2.62417169993129,0.673,0.219,2.87620795674265e-78,"19"
"FCHSD2",4.43519512816656e-76,2.69820650524741,0.792,0.383,1.92052819439868e-71,"19"
"STARD13",1.49321769391532e-70,2.66827360764449,0.767,0.354,6.46593125819212e-66,"19"
"IFI44L",0,2.61172167586754,0.965,0.087,0,"20"
"LRRC3B",3.42382889701261e-261,2.39906755995965,0.955,0.137,1.4825863889844e-256,"20"
"GNA14",2.07692615939863e-255,2.86775169862529,0.995,0.167,8.99350565542794e-251,"20"
"EGLN3",5.76509972025511e-232,2.65827571331573,0.895,0.138,2.49640348086487e-227,"20"
"NEO1",1.30833109131835e-171,2.50873791488259,0.995,0.273,5.66533529162672e-167,"20"
"CACHD1",1.20050849697176e-155,2.06136945556994,0.995,0.261,5.1984418935871e-151,"20"
"GPC5",7.13878719029026e-150,2.42153632764034,1,0.281,3.09123762913949e-145,"20"
"RYR3",1.9436527042987e-141,2.35947757650125,1,0.363,8.41640494015425e-137,"20"
"OPHN1",2.92221498294256e-140,2.30621945516976,0.99,0.309,1.26537753191379e-135,"20"
"DTNA",1.13516063910092e-116,2.06477530133499,1,0.669,4.91547259943479e-112,"20"
"IGKC",0,9.12590051558584,0.778,0.059,0,"21"
"IGHG3",0,7.87606751392618,0.778,0.007,0,"21"
"IGHG1",0,7.3835827099727,0.837,0.02,0,"21"
"IGHGP",0,7.21523247623045,0.725,0.007,0,"21"
"IGHA1",0,7.13460724300693,0.288,0.002,0,"21"
"IGHM",0,5.97020015045084,0.359,0.001,0,"21"
"JCHAIN",0,5.28016831872886,0.51,0.002,0,"21"
"IGLC1",1.33663191864158e-293,6.04344885930622,0.131,0.001,5.78788353410176e-289,"21"
"IGLC3",2.06615254381059e-206,5.48778236844217,0.235,0.007,8.94685374520862e-202,"21"
"IGLC2",5.16788727235299e-135,7.87944815602979,0.346,0.026,2.23779854667429e-130,"21"
"EZH2",0,3.123565001877,0.87,0.03,0,"22"
"TOP2A",0,2.61096608935115,0.741,0.002,0,"22"
"BRIP1",0,2.57942830774303,0.815,0.01,0,"22"
"SMC4",0,2.49299140334381,0.833,0.037,0,"22"
"AC091057.6",0,2.47506461003449,0.843,0.012,0,"22"
"KNL1",0,2.4069564078801,0.75,0.005,0,"22"
"DIAPH3",1.39365204564091e-278,2.52224034329788,0.843,0.055,6.03479208803427e-274,"22"
"ATAD2",1.39509605559226e-263,2.37493754115188,0.759,0.047,6.04104493992561e-259,"22"
"CCDC26",3.55157665546869e-246,2.65121005169743,0.861,0.062,1.53790372335105e-241,"22"
"CENPP",3.54967063288416e-184,2.87088117206077,0.852,0.089,1.5370783774515e-179,"22"
"SH3BGR",5.79779932071207e-132,4.01293740249371,0.955,0.104,2.51056306185474e-127,"23"
"MMP16",4.2667640519761e-107,3.11139522740054,0.818,0.086,1.84759416978669e-102,"23"
"CAP2",6.84336963947102e-104,2.57660674135086,0.864,0.099,2.96331592128374e-99,"23"
"GALNT13",1.88474297246646e-93,2.81065978863332,0.894,0.115,8.16131401937425e-89,"23"
"MIR4300HG",1.06859952908647e-61,2.50210961110707,0.97,0.221,4.62724968085021e-57,"23"
"SLC7A11",1.01951055619003e-56,3.43527205867101,0.985,0.338,4.41468461041408e-52,"23"
"DCLK1",5.59845643875935e-52,2.4990234443999,0.955,0.249,2.42424360711157e-47,"23"
"HMGB1",2.15769536476722e-46,3.45677173701724,0.985,0.472,9.343252468515e-42,"23"
"NRG3",5.91714051756106e-46,2.50851198232696,0.985,0.448,2.56224018691429e-41,"23"
"OSBPL1A",2.79513281565609e-45,2.48786198188686,0.985,0.382,1.2103484118354e-40,"23"
"LINC00499",5.00163458046837e-75,2.62740437967117,0.983,0.155,2.16580780603441e-70,"24"
"SLC26A3",3.46644532339044e-73,2.88223847761778,0.948,0.155,1.50104015393453e-68,"24"
"LINGO1",8.60321051171343e-64,2.91277837946392,0.966,0.19,3.72536221578215e-59,"24"
"AC105402.3",2.28766324631791e-53,2.43186411351859,0.897,0.185,9.9060393892058e-49,"24"
"HPSE2",3.35220373192261e-48,2.45511068313201,0.862,0.176,1.45157125999713e-43,"24"
"RASGEF1B",6.22273220773727e-48,3.56123469026498,1,0.353,2.69456750059439e-43,"24"
"HMGB1",1.12232776750616e-42,3.13270383163128,1,0.472,4.85990369885518e-38,"24"
"PLCB1",1.4342138150417e-42,2.36908806336835,0.966,0.304,6.21043266189357e-38,"24"
"SLC7A11",5.11135529502273e-42,2.69971087197955,0.948,0.338,2.21331906985074e-37,"24"
"CADM2",5.78880275326712e-38,2.34018865522251,0.983,0.391,2.50666736821973e-33,"24"
