"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"RCC2",4.51468385142437e-22,0.26818351374148,0.165,0.088,1.95494840134378e-17,"4"
"TAB2",4.83803979368496e-22,0.331134275917033,0.499,0.389,2.09496799146146e-17,"4"
"PNRC1",5.62548701762063e-22,0.527248600253332,0.259,0.164,2.43594838837009e-17,"4"
"MLX",5.758598263563e-22,0.36720715990984,0.104,0.048,2.49358822008805e-17,"4"
"AP002991.1",6.81747806141628e-22,0.358343408991962,0.101,0.046,2.95210435015448e-17,"4"
"LSS",6.95108673961321e-22,-0.454042160533816,0.032,0.114,3.00995957998731e-17,"4"
"SPPL3",7.81801375518747e-22,0.415583222783584,0.391,0.285,3.38535631627128e-17,"4"
"ERC2",8.25894550524932e-22,0.360506236066788,0.178,0.1,3.57628858268306e-17,"4"
"SOS2",8.39167560065814e-22,0.349599529128094,0.286,0.189,3.63376336859699e-17,"4"
"FBXW7",8.47020007626321e-22,0.422306551939478,0.336,0.232,3.66776603702349e-17,"4"
"RPS20",9.04932612257657e-22,0.534326750907255,0.276,0.181,3.91853919759811e-17,"4"
"ATP6V1G1",9.16339189385614e-22,0.975285302111055,0.152,0.083,3.96793195787759e-17,"4"
"GNB1",9.89554645078409e-22,0.393254874771541,0.407,0.297,4.28496952411852e-17,"4"
"LMO2",1.00349897332906e-21,0.342378544049602,0.175,0.097,4.34535125430949e-17,"4"
"AHDC1",1.03298983370729e-21,-0.496092405020925,0.056,0.148,4.4730525779193e-17,"4"
"YPEL2",1.08035849476616e-21,0.269211775556861,0.209,0.122,4.67816835403643e-17,"4"
"AMPD3",1.15094460494109e-21,0.31078821238431,0.185,0.105,4.98382032831589e-17,"4"
"BMPR1A",1.17886727421291e-21,-0.631508907993234,0.245,0.355,5.10473107079674e-17,"4"
"DCAF7",1.22533971699252e-21,0.36974894096995,0.214,0.129,5.30596604252101e-17,"4"
"CC2D2A",1.28646208520927e-21,-0.425555731247138,0.039,0.123,5.57063812137316e-17,"4"
"AFDN",1.36886772989445e-21,-0.574462551158912,0.139,0.249,5.92747104398894e-17,"4"
"FAM135B",1.38979912072519e-21,-0.474304043956806,0.07,0.167,6.01810815256421e-17,"4"
"AC008014.1",1.47349815639897e-21,-0.554014962425786,0.07,0.165,6.38054171683883e-17,"4"
"DYNC2LI1",1.50667268928998e-21,-0.378981424257773,0.053,0.142,6.52419407916347e-17,"4"
"NFIL3",1.51514222796502e-21,0.299799767394544,0.111,0.052,6.56086887553411e-17,"4"
"ELF2",1.51770090532226e-21,0.367076508378013,0.449,0.34,6.57194846022644e-17,"4"
"NCOA4",1.54905848596876e-21,0.47172045102764,0.129,0.065,6.70773305594194e-17,"4"
