"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"C9orf3",1.03046047886024e-212,0.466931985392322,0.546,0.483,4.46209996556059e-208,"0"
"DLEU2",3.90025445504183e-212,0.54001166485143,0.517,0.45,1.68888818412221e-207,"0"
"ABCA6",3.32952373206763e-211,0.560952088432663,0.299,0.208,1.44175036645992e-206,"0"
"COBL",8.27995539579037e-210,0.515622435273175,0.537,0.468,3.58538628548514e-205,"0"
"CNKSR3",2.75902951749772e-209,0.582158775375748,0.26,0.179,1.19471496166686e-204,"0"
"PPP2R2B",2.31522741125213e-208,0.445072848269198,0.685,0.625,1.0025397736204e-203,"0"
"GPRC5B",6.44967745429884e-207,0.63919494415494,0.541,0.454,2.79283933126048e-202,"0"
"AGTPBP1",1.10700809485184e-205,0.475654039667659,0.537,0.467,4.79356645232742e-201,"0"
"STARD13",6.37187211488334e-205,0.569851110146598,0.439,0.37,2.75914806318678e-200,"0"
"LRRC63",1.13163801631952e-204,0.549379502079634,0.276,0.192,4.90021893826679e-200,"0"
"SEC14L5",1.82061616612676e-201,0.572699345354273,0.26,0.181,7.88363212256209e-197,"0"
"CORO2B",2.15874282074092e-201,0.583340957083447,0.356,0.279,9.34778816237234e-197,"0"
"RAPGEF5",8.0180257529701e-200,0.423998754750742,0.566,0.465,3.47196551155111e-195,"0"
"CHORDC1",1.09541042179921e-199,0.553733210498011,0.336,0.258,4.74334620847496e-195,"0"
"APBB2",4.56251861848253e-198,0.392812106983602,0.567,0.476,1.9756618121753e-193,"0"
"KANSL1L",2.01229942541139e-195,0.672559687309996,0.382,0.319,8.7136589719164e-191,"0"
"FGFR2",1.09677538778078e-194,0.487497942070331,0.484,0.391,4.74925678416832e-190,"0"
"LINC00320",2.67709954152395e-194,0.598100043489118,0.361,0.273,1.1592376434707e-189,"0"
"SEMA4D",7.9141847607567e-191,0.503730012456036,0.468,0.388,3.42700028510287e-186,"0"
"TTYH2",2.23726243185789e-188,0.585218084546645,0.435,0.346,9.68779378243102e-184,"0"
"UBE4B",2.07453451084505e-187,0.547793155903978,0.447,0.384,8.98314933886122e-183,"0"
"OSBPL1A",3.79212236839294e-187,0.426241123054666,0.566,0.54,1.64206482796151e-182,"0"
"NDRG1",1.42689286199446e-185,0.597915158252147,0.464,0.382,6.17873147100839e-181,"0"
"CPM",1.98949195796738e-185,0.483967828181339,0.333,0.249,8.61489807639036e-181,"0"
"DEPTOR",1.49503541380027e-184,0.537019467549134,0.301,0.22,6.47380234883792e-180,"0"
"PHLDB1",1.32206318622731e-182,0.653732804650962,0.471,0.394,5.72479800900149e-178,"0"
"FBXO32",1.44292891622967e-182,0.572700624876837,0.288,0.213,6.24817079305772e-178,"0"
"FAXDC2",1.59302272977535e-181,0.601129486245058,0.319,0.242,6.89810702447321e-177,"0"
"KANK1",1.08427861051822e-180,0.513225630301875,0.428,0.351,4.69514323926598e-176,"0"
"NALCN",2.25584521111791e-176,0.515474414973053,0.502,0.444,9.76826093318279e-172,"0"
"ADAM10",6.55885335340724e-176,0.600100143499983,0.425,0.371,2.8401146790924e-171,"0"
"OTUD7A",7.87177753976615e-175,0.481021594086978,0.572,0.499,3.40863711026954e-170,"0"
"SYNJ2",1.43566606497459e-174,0.461314929791085,0.496,0.404,6.21672119455299e-170,"0"
"GNAO1",1.78581407721543e-170,0.574930884093356,0.507,0.459,7.73293211715827e-166,"0"
"RTN4",6.49556005730059e-170,0.30010324037505,0.748,0.757,2.8127074160123e-165,"0"
"CPQ",4.54793365070607e-168,0.576989823594909,0.387,0.318,1.96934622942874e-163,"0"
"MBOAT2",6.78473675148927e-168,0.538371390630433,0.453,0.399,2.93792670812988e-163,"0"
"CLDND1",1.63865321460234e-165,0.645297640921153,0.53,0.435,7.09569614987105e-161,"0"
"SLC39A11",1.85369919201154e-164,0.524890693191087,0.446,0.384,8.02688824124838e-160,"0"
"YPEL2",1.11163444200712e-163,0.534648957728914,0.421,0.349,4.81359946077922e-159,"0"
"NDE1",2.72341543848524e-163,0.50811160853234,0.266,0.193,1.17929335317288e-158,"0"
"CERCAM",1.81992594913473e-161,0.564783289333318,0.469,0.384,7.88064334494319e-157,"0"
"KCNMB4",3.28071380680441e-161,0.453032404743646,0.486,0.404,1.42061469262244e-156,"0"
"SEM1",8.79674938312865e-161,0.556000486643818,0.286,0.219,3.80916841788237e-156,"0"
"WWOX",4.32528103755294e-159,0.457434536789397,0.601,0.552,1.87293319488117e-154,"0"
"PWWP2A",1.04188512808199e-156,0.553231956284151,0.349,0.281,4.51157098162061e-152,"0"
"PREX1",6.61459480713086e-156,0.45044495726488,0.491,0.423,2.8642518433838e-151,"0"
"TMEM63A",1.16288277386979e-155,0.604998201063099,0.372,0.295,5.03551498741095e-151,"0"
"KIZ",1.41195947277061e-155,0.509443386516863,0.373,0.309,6.11406690899128e-151,"0"
"OSBP2",3.06760045628116e-155,0.564762201961822,0.364,0.299,1.32833234957887e-150,"0"
"PROX1",1.66761561506497e-154,0.486995500576123,0.272,0.2,7.22110913635432e-150,"0"
"CNDP1",2.90255228939586e-154,0.43431307285128,0.374,0.286,1.2568631923542e-149,"0"
"AC106791.1",2.59667845351263e-152,0.603945087380227,0.252,0.185,1.12441370394004e-147,"0"
"AATK",1.40711169208115e-149,0.827042155234194,0.424,0.367,6.09307504904979e-145,"0"
"PLA2G16",1.87764464965589e-149,0.377274611998713,0.447,0.363,8.13057686193992e-145,"0"
"PHACTR3",1.91485510029982e-149,0.465961297115542,0.487,0.429,8.2917055553183e-145,"0"
"SYT9",7.38334456465051e-147,0.483695484719042,0.257,0.191,3.19713586338497e-142,"0"
"FANCL",7.90610434718661e-147,0.516084931328355,0.339,0.275,3.42350130441875e-142,"0"
"CCNH",1.02794670525623e-146,0.516822095561071,0.476,0.43,4.45121482310053e-142,"0"
"SLC5A11",3.88035044271502e-146,0.507599459558709,0.351,0.27,1.68026934870446e-141,"0"
"CDC14B",1.37857578287882e-144,0.477938874600853,0.469,0.414,5.96950885502186e-140,"0"
"PPM1H",1.97865430074878e-142,0.525862573570752,0.387,0.323,8.56796885310238e-138,"0"
"SUGT1",3.3969423797235e-141,0.50523221762869,0.3,0.237,1.47094398926787e-136,"0"
"EFHD1",5.34991050241317e-141,0.584026694052779,0.389,0.318,2.31661824575495e-136,"0"
"USP47",3.4101426097595e-140,0.535483719935214,0.504,0.475,1.47665995287806e-135,"0"
"GLDN",3.3736588271588e-138,0.430976280893754,0.366,0.289,1.4608617453363e-133,"0"
"TULP4",3.15238551600519e-137,0.49890237452075,0.492,0.445,1.36504597614057e-132,"0"
"NSMCE2",6.14747629339814e-137,0.530906900594566,0.436,0.388,2.66198018456726e-132,"0"
"ADCY5",5.0968103111737e-136,0.507750088939685,0.288,0.223,2.20702080094444e-131,"0"
"GPR37",1.06269814907615e-135,0.742457398704682,0.349,0.278,4.60169552512954e-131,"0"
"BAZ2B",1.2023921988845e-135,0.460784258088429,0.58,0.569,5.20659869960968e-131,"0"
"CLIP2",1.71799705601473e-133,0.513559370982486,0.358,0.3,7.43927085195499e-129,"0"
"TANC1",8.48135042248101e-132,0.438269956405271,0.394,0.334,3.67259435994273e-127,"0"
"IGSF11",6.99747525430364e-131,0.455338222014537,0.391,0.326,3.03004673461856e-126,"0"
"LCOR",1.29357221452056e-129,0.573395236000124,0.427,0.388,5.60142640331694e-125,"0"
"DICER1",3.78430086116549e-127,0.501313111256711,0.515,0.478,1.63867795890188e-122,"0"
"BCAS3",6.05302117390755e-126,0.517040667421436,0.504,0.473,2.62107922872545e-121,"0"
"SASH1",1.74310897154044e-123,0.478368082878788,0.454,0.407,7.54801046856441e-119,"0"
"TTLL11",3.44537625865758e-123,0.458367954973361,0.324,0.262,1.4919168275239e-118,"0"
"P2RX7",3.71081684932147e-122,0.54006669510934,0.429,0.37,1.60685791209318e-117,"0"
"ZDHHC11B",6.31336662100309e-122,0.529179317243921,0.288,0.228,2.73381401422676e-117,"0"
"KIAA1324L",9.82761955835951e-121,0.474353381894946,0.359,0.297,4.25555582116083e-116,"0"
"HMGB1",4.13426075234893e-120,0.767210579253758,0.484,0.49,1.79021759098213e-115,"0"
"AC245297.3",7.21483661841384e-119,0.516419135469145,0.419,0.376,3.12416855250556e-114,"0"
"RAB40B",1.49744740412314e-117,0.473402394332146,0.383,0.321,6.48424674933402e-113,"0"
"CPB2-AS1",1.1218185942394e-114,0.62109026892521,0.289,0.23,4.85769887677543e-110,"0"
"LPGAT1",9.63090265302114e-114,0.505051900335049,0.474,0.42,4.17037346681122e-109,"0"
"THUMPD3-AS1",2.76736902509527e-112,0.470752901212248,0.287,0.231,1.19832613524675e-107,"0"
"BBS9",7.13664601806448e-112,0.511607120315917,0.365,0.319,3.09031045874228e-107,"0"
"RERE",1.94503738248294e-111,0.372870085933448,0.601,0.604,8.42240087362764e-107,"0"
"SSFA2",4.94744705534018e-110,0.421909673615152,0.27,0.215,2.1423435239034e-105,"0"
"RETREG1",2.18888859309388e-108,0.467107049295776,0.417,0.361,9.4783253858151e-104,"0"
"WIPF1",1.59317224416856e-107,0.467664610295428,0.341,0.284,6.8987544516987e-103,"0"
"MTUS1",3.45738237824801e-106,0.397518977065618,0.533,0.471,1.49711571742895e-101,"0"
"GSN",1.64972659929265e-105,0.450852743445254,0.472,0.412,7.14364612025704e-101,"0"
"NLGN1",2.61599880064788e-104,0.364908499640763,0.502,0.449,1.13277980065655e-99,"0"
"TNRC6C",5.42956247882778e-104,0.480387274936564,0.498,0.47,2.35110914458201e-99,"0"
"MPDZ",1.3724057733838e-103,0.522589108288869,0.439,0.411,5.94279147990651e-99,"0"
"GATM",2.9091103353309e-103,0.49960346055632,0.304,0.249,1.25970295740499e-98,"0"
"ZNF397",1.44456161105479e-102,0.596989882993437,0.278,0.224,6.25524068818943e-98,"0"
"TOM1L2",6.72870550939169e-102,0.46795557810619,0.419,0.378,2.91366405967679e-97,"0"
"ARHGAP23",1.76976015303255e-101,0.523949248765584,0.314,0.258,7.66341541466153e-97,"0"
"SYNDIG1",5.78482652632624e-101,0.346618765194406,0.389,0.334,2.50494558242979e-96,"0"
"TBC1D5",1.97929925138224e-98,0.426042097411931,0.536,0.528,8.57076161833539e-94,"0"
"MIB1",8.01297371264636e-98,0.523167391648538,0.347,0.307,3.46977787705013e-93,"0"
"CEP97",5.45463321392892e-97,0.509415019847157,0.252,0.199,2.3619652742955e-92,"0"
"SCD5",8.41294049895639e-96,0.376858306295627,0.59,0.549,3.6429714948581e-91,"0"
"SLC22A15",1.15255356855269e-95,0.532830193420749,0.347,0.298,4.99078746254688e-91,"0"
"CPEB2",7.39410898982618e-95,0.462996738862189,0.391,0.344,3.20179707477453e-90,"0"
"MEIS2",1.57205264591026e-94,0.451054655375071,0.414,0.371,6.80730236732062e-90,"0"
"FOXN2",1.6547996250553e-93,0.472768380576641,0.328,0.276,7.16561333641447e-89,"0"
"MAP2K4",3.24115522351978e-93,0.578205399722454,0.387,0.365,1.40348503488853e-88,"0"
"FAF1",3.35570858215442e-93,0.392372328254165,0.511,0.487,1.45308893024451e-88,"0"
"MIRLET7BHG",5.67086962052511e-93,0.423179842545646,0.311,0.263,2.45559996307978e-88,"0"
"DPYSL5",2.9640887170807e-92,0.427915117786207,0.339,0.28,1.28350969627029e-87,"0"
"RASGRF1",8.30041577381257e-91,0.444736218560413,0.25,0.2,3.59424603837632e-86,"0"
"ATXN1",8.75579988988739e-91,0.403458502589369,0.583,0.593,3.79143646831904e-86,"0"
"HBS1L",1.34953047693946e-90,0.4967097728543,0.369,0.322,5.84373687124327e-86,"0"
"CRADD",5.83836402277597e-90,0.503683888057588,0.343,0.298,2.52812838914245e-85,"0"
"TARSL2",2.03540751236511e-89,0.44775864708746,0.357,0.309,8.81372161004338e-85,"0"
"BPTF",8.00371270733312e-89,0.465164106213328,0.53,0.521,3.46576767652939e-84,"0"
"FAM13C",1.54261953967877e-88,0.407138444379341,0.394,0.341,6.67985113071701e-84,"0"
"ZNF532",8.17687306312874e-88,0.473735056020086,0.373,0.336,3.54074957379601e-83,"0"
"SLC25A13",3.01365615742543e-87,0.418271998175265,0.399,0.351,1.30497338928836e-82,"0"
"SAMD12",2.66533496184141e-85,0.450009252515317,0.463,0.435,1.15414334517657e-80,"0"
"PTGES3",2.91932127072685e-85,0.338391778070923,0.401,0.369,1.26412449665014e-80,"0"
"CPNE2",3.01809768601488e-84,0.402746129194751,0.257,0.206,1.30689665999816e-79,"0"
"NEO1",1.04198372524945e-82,0.388948545823543,0.478,0.44,4.51199792707517e-78,"0"
"BBX",1.85015186702282e-82,0.462027502000656,0.473,0.449,8.01152761458223e-78,"0"
"KIAA1755",6.58420783137146e-82,0.456182977142999,0.27,0.221,2.85109367514047e-77,"0"
"MITF",2.01467659457193e-81,0.397871576469762,0.294,0.243,8.72395258981536e-77,"0"
"GRID1",2.08435532755824e-80,0.327408668535266,0.499,0.457,9.02567543939271e-76,"0"
"ACER3",4.1502629372227e-80,0.454120005751627,0.414,0.374,1.79714685707617e-75,"0"
"LDLRAD3",1.26591027756605e-79,0.431837932726162,0.269,0.222,5.48164468391653e-75,"0"
"PPP2R2A",2.23050797691951e-79,0.357464432436215,0.436,0.399,9.65854564165685e-75,"0"
"KDM4C",3.28814904040321e-78,0.386928572857617,0.434,0.408,1.4238342974754e-73,"0"
"MOB3B",8.65717119832859e-78,0.403644614781782,0.409,0.36,3.74872827230025e-73,"0"
"SEMA6A",7.08137257812207e-77,0.517733316641489,0.378,0.336,3.06637595377842e-72,"0"
"BIN1",1.29447925893972e-76,0.496715757863524,0.49,0.449,5.60535408706079e-72,"0"
"PAPOLA",1.31340251784355e-75,0.477807672848417,0.362,0.332,5.68729558276614e-71,"0"
"EVA1C",1.35888659396457e-75,0.445583761138371,0.303,0.258,5.88425072918539e-71,"0"
"LDB3",2.88131080127667e-75,0.550568753139157,0.286,0.239,1.24766520316883e-70,"0"
"LMCD1-AS1",2.9272897533032e-74,0.42233412703879,0.408,0.367,1.26757500897535e-69,"0"
