"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT-ND43",2.37189616190968e-19,0.456345982529158,0.655,0.541,4.74379232381936e-16,"23","MT-ND4"
"S100A11",5.74716287623516e-19,0.600905993295205,0.371,0.225,1.14943257524703e-15,"23","S100A11"
"ANO63",1.55376507060522e-18,0.356673082498108,0.436,0.323,3.10753014121045e-15,"23","ANO6"
"AQP4",2.31308899592253e-18,0.321215738529307,0.413,0.316,4.62617799184506e-15,"23","AQP4"
"PCED1B",8.34602526819117e-18,0.52797366773543,0.413,0.284,1.66920505363823e-14,"23","PCED1B"
"CD163",1.27039545126413e-16,0.563351116925478,0.32,0.107,2.54079090252826e-13,"23","CD163"
"RAD51B6",1.59161795140599e-15,0.254557934375285,0.689,0.568,3.18323590281197e-12,"23","RAD51B"
"CYBA",1.70312287917385e-15,0.797913145830099,0.376,0.244,3.4062457583477e-12,"23","CYBA"
"CACNA1D3",2.78948485335955e-15,0.39602839180743,0.499,0.397,5.57896970671909e-12,"23","CACNA1D"
"LINC01094",7.80072066696007e-15,0.590493777277252,0.401,0.282,1.56014413339201e-11,"23","LINC01094"
"VSIG4",8.72119231524192e-14,0.763873720786879,0.346,0.143,1.74423846304838e-10,"23","VSIG4"
"JDP22",1.26621963167795e-13,0.352959535697303,0.465,0.379,2.53243926335590e-10,"23","JDP2"
"MT-CO25",5.70039160495394e-13,0.38143015826683,0.699,0.616,1.14007832099079e-09,"23","MT-CO2"
"MT2A2",7.79127848411949e-13,0.607471598622733,0.335,0.21,1.5582556968239e-09,"23","MT2A"
"CCDC261",8.14803230701306e-13,0.701619630520131,0.306,0.371,1.62960646140261e-09,"23","CCDC26"
"MARCKS3",1.02779309803496e-12,0.42701481327399,0.414,0.318,2.05558619606993e-09,"23","MARCKS"
